word,pos,meaning,example,frequency,source_rank,other_spellings,source_dataset
limited,,有限的、有限责任的,,167,951,,exam-data/NETEMVocabulary
push,,推,,167,952,,exam-data/NETEMVocabulary
twenty,,二十,,167,953,,exam-data/NETEMVocabulary
police,,警察,,167,954,,exam-data/NETEMVocabulary
film,,电影,,167,955,,exam-data/NETEMVocabulary
review,,复习、回顾、评论,,166,956,,exam-data/NETEMVocabulary
attempt,,试图、企图,,166,957,,exam-data/NETEMVocabulary
wealth,,财富,,166,958,,exam-data/NETEMVocabulary
associate,,联系、结交,,166,959,,exam-data/NETEMVocabulary
prefer,,偏好,,166,960,,exam-data/NETEMVocabulary
title,,标题,,165,961,,exam-data/NETEMVocabulary
creative,,有创造力的,,165,962,,exam-data/NETEMVocabulary
trust,,信任,,164,963,,exam-data/NETEMVocabulary
ill,,有病的、坏的,,163,964,,exam-data/NETEMVocabulary
box,,盒子,,163,965,,exam-data/NETEMVocabulary
cry,,哭泣,,163,966,,exam-data/NETEMVocabulary
hardly,,几乎不、仅仅,,162,967,,exam-data/NETEMVocabulary
responsible,,应负责的、可靠的,,162,968,,exam-data/NETEMVocabulary
track,,追踪、足迹、痕迹,,162,969,,exam-data/NETEMVocabulary
warn,,警告,,162,970,,exam-data/NETEMVocabulary
total,,总共的,,162,971,,exam-data/NETEMVocabulary
derive,,取得,,162,972,,exam-data/NETEMVocabulary
china,,瓷器,,162,973,,exam-data/NETEMVocabulary
textbook,,课本,,162,974,,exam-data/NETEMVocabulary
extra,,额外的,,161,975,,exam-data/NETEMVocabulary
electronic,,电子的,,161,976,,exam-data/NETEMVocabulary
ignore,,忽视,,161,977,,exam-data/NETEMVocabulary
survive,,幸存,,161,978,,exam-data/NETEMVocabulary
bird,,鸟,,161,979,,exam-data/NETEMVocabulary
heavy,,重的,,161,980,,exam-data/NETEMVocabulary
fuel,,燃料,,160,981,,exam-data/NETEMVocabulary
magazine,,杂志,,160,982,,exam-data/NETEMVocabulary
summer,,夏天、夏季的,,160,983,,exam-data/NETEMVocabulary
complex,,复杂的,,159,984,,exam-data/NETEMVocabulary
danger,,危险,,159,985,,exam-data/NETEMVocabulary
piece,,（一）件、碎片,,159,986,,exam-data/NETEMVocabulary
option,,选项,,159,987,,exam-data/NETEMVocabulary
throughout,,遍及、到处,,159,988,,exam-data/NETEMVocabulary
library,,图书馆,,159,989,,exam-data/NETEMVocabulary
mention,,提及,,158,990,,exam-data/NETEMVocabulary
institution,,机构,,158,991,,exam-data/NETEMVocabulary
appeal,,呼吁、吸引,,157,992,,exam-data/NETEMVocabulary
background,,背景,,157,993,,exam-data/NETEMVocabulary
colleague,,同事,,157,994,,exam-data/NETEMVocabulary
intend,,想要（做某事）,,156,995,,exam-data/NETEMVocabulary
strategy,,策略,,156,996,,exam-data/NETEMVocabulary
paint,,绘画,,156,997,,exam-data/NETEMVocabulary
exact,,确切的、特定的,,156,998,,exam-data/NETEMVocabulary
journal,,日记,,155,999,,exam-data/NETEMVocabulary
grant,,同意、授予,,155,1000,,exam-data/NETEMVocabulary
factory,,工厂,,155,1001,,exam-data/NETEMVocabulary
authority,,权力、权威人士,,155,1002,,exam-data/NETEMVocabulary
association,,协会,,155,1003,,exam-data/NETEMVocabulary
tree,,树、爬上树,,155,1004,,exam-data/NETEMVocabulary
arrive,,到、达到,,155,1005,,exam-data/NETEMVocabulary
ready,,准备好的,,155,1006,,exam-data/NETEMVocabulary
cheap,,便宜的、不值钱的,,155,1007,,exam-data/NETEMVocabulary
patent,,专利、专利的,,154,1008,,exam-data/NETEMVocabulary
flight,,航班,,154,1009,,exam-data/NETEMVocabulary
spread,,传播,,154,1010,,exam-data/NETEMVocabulary
expense,,花费,,154,1011,,exam-data/NETEMVocabulary
famous,,有名的,,154,1012,,exam-data/NETEMVocabulary
indeed,,确实,,153,1013,,exam-data/NETEMVocabulary
establish,,建立、查实,,153,1014,,exam-data/NETEMVocabulary
observe,,观察,,153,1015,,exam-data/NETEMVocabulary
chief,,首领、主要的,,153,1016,,exam-data/NETEMVocabulary
safe,,安全的,,153,1017,,exam-data/NETEMVocabulary
nor,,也不,,153,1018,,exam-data/NETEMVocabulary
foot,,脚、走,,153,1019,,exam-data/NETEMVocabulary
debate,,讨论,,152,1020,,exam-data/NETEMVocabulary
agency,,机构,,152,1021,,exam-data/NETEMVocabulary
educate,,教育,,152,1022,,exam-data/NETEMVocabulary
compete,,竞争,,152,1023,,exam-data/NETEMVocabulary
wish,,希望,,152,1024,,exam-data/NETEMVocabulary
staff,,员工,,152,1025,,exam-data/NETEMVocabulary
adapt,,改编、适应,,151,1026,,exam-data/NETEMVocabulary
boss,,老板,,151,1027,,exam-data/NETEMVocabulary
unless,,除非,,150,1028,,exam-data/NETEMVocabulary
unemployment,,失业,,150,1029,,exam-data/NETEMVocabulary
fix,,固定、修理,,150,1030,,exam-data/NETEMVocabulary
scale,,规模、刻度、天平,,149,1031,,exam-data/NETEMVocabulary
possibility,,可能、可能的事,,149,1032,,exam-data/NETEMVocabulary
application,,应用、申请,,149,1033,,exam-data/NETEMVocabulary
participant,,参与者,,149,1034,,exam-data/NETEMVocabulary
union,,一致、联合,,148,1035,,exam-data/NETEMVocabulary
threat,,威胁,,148,1036,,exam-data/NETEMVocabulary
emotion,,情感,,148,1037,,exam-data/NETEMVocabulary
western,,西方的,,148,1038,,exam-data/NETEMVocabulary
marriage,,结婚、结婚仪式,,148,1039,,exam-data/NETEMVocabulary
capacity,,容量、能力、生产力,,147,1040,,exam-data/NETEMVocabulary
score,,分数,,147,1041,,exam-data/NETEMVocabulary
obvious,,明显的,,147,1042,,exam-data/NETEMVocabulary
relation,,关系,,147,1043,,exam-data/NETEMVocabulary
lesson,,课、教训,,147,1044,,exam-data/NETEMVocabulary
passenger,,乘客,,147,1045,,exam-data/NETEMVocabulary
represent,,代表,,147,1046,,exam-data/NETEMVocabulary
mile,,英里,,147,1047,,exam-data/NETEMVocabulary
regular,,定期的、常规的,,147,1048,,exam-data/NETEMVocabulary
adopt,,采用、收养,,147,1049,,exam-data/NETEMVocabulary
voice,,声音,,147,1050,,exam-data/NETEMVocabulary
movie,,电影,,147,1051,,exam-data/NETEMVocabulary
characteristic,,特征、独有的,,146,1052,,exam-data/NETEMVocabulary
join,,参加,,146,1053,,exam-data/NETEMVocabulary
operate,,运转、动手术,,146,1054,,exam-data/NETEMVocabulary
pollution,,污染,,146,1055,,exam-data/NETEMVocabulary
discuss,,讨论,,146,1056,,exam-data/NETEMVocabulary
extend,,延伸、延展,,145,1057,,exam-data/NETEMVocabulary
appropriate,,恰当的,,145,1058,,exam-data/NETEMVocabulary
match,,比赛、匹配,,145,1059,,exam-data/NETEMVocabulary
date,,日期,,145,1060,,exam-data/NETEMVocabulary
ancient,,古老的,,145,1061,,exam-data/NETEMVocabulary
majority,,多数、半数以上,,144,1062,,exam-data/NETEMVocabulary
wonder,,好奇、奇观,,144,1063,,exam-data/NETEMVocabulary
forest,,森林,,144,1064,,exam-data/NETEMVocabulary
unique,,独特的,,144,1065,,exam-data/NETEMVocabulary
finding,,发现、调查结果,,144,1066,,exam-data/NETEMVocabulary
gas,,气体、天然气,,144,1067,,exam-data/NETEMVocabulary
separate,,分开,,144,1068,,exam-data/NETEMVocabulary
audience,,观众,,144,1069,,exam-data/NETEMVocabulary
station,,车站,,144,1070,,exam-data/NETEMVocabulary
carbon,,碳、复写纸,,143,1071,,exam-data/NETEMVocabulary
female,,女性、雌性,,143,1072,,exam-data/NETEMVocabulary
conclude,,总结,,143,1073,,exam-data/NETEMVocabulary
employ,,雇佣、采用,,143,1074,,exam-data/NETEMVocabulary
conclusion,,总结,,143,1075,,exam-data/NETEMVocabulary
moral,,道德的,,142,1076,,exam-data/NETEMVocabulary
expression,,表达、措词,,142,1077,,exam-data/NETEMVocabulary
wall,,墙壁,,142,1078,,exam-data/NETEMVocabulary
temperature,,温度,,142,1079,,exam-data/NETEMVocabulary
principle,,原则,,141,1080,,exam-data/NETEMVocabulary
acquire,,获得,,141,1081,,exam-data/NETEMVocabulary
mail,,邮件,,141,1082,,exam-data/NETEMVocabulary
consume,,消耗、耗尽,,141,1083,,exam-data/NETEMVocabulary
aware,,意识的,,141,1084,,exam-data/NETEMVocabulary
owner,,物主,,141,1085,,exam-data/NETEMVocabulary
classroom,,教室,,141,1086,,exam-data/NETEMVocabulary
campus,,校园,,141,1087,,exam-data/NETEMVocabulary
pain,,痛苦,,140,1088,,exam-data/NETEMVocabulary
aid,,援助,,140,1089,,exam-data/NETEMVocabulary
doubt,,怀疑,,139,1090,,exam-data/NETEMVocabulary
ice,,冰、使结冰,,139,1091,,exam-data/NETEMVocabulary
cell,,细胞,,139,1092,,exam-data/NETEMVocabulary
confidence,,信任,,139,1093,,exam-data/NETEMVocabulary
imagine,,想象,,139,1094,,exam-data/NETEMVocabulary
taste,,口味,,139,1095,,exam-data/NETEMVocabulary
resident,,居民、居住的,,139,1096,,exam-data/NETEMVocabulary
equal,,平等的,,138,1097,,exam-data/NETEMVocabulary
senior,,年长的、资格老的,,138,1098,,exam-data/NETEMVocabulary
dinner,,正餐,,138,1099,,exam-data/NETEMVocabulary
innovation,,革新、新方法,,137,1100,,exam-data/NETEMVocabulary
pick,,挑,,137,1101,,exam-data/NETEMVocabulary
overall,,全面的、总体上,,137,1102,,exam-data/NETEMVocabulary
succeed,,成功、接替,,137,1103,,exam-data/NETEMVocabulary
strike,,击打,,137,1104,,exam-data/NETEMVocabulary
examine,,检查,,137,1105,,exam-data/NETEMVocabulary
instruction,,指令、教导,,137,1106,,exam-data/NETEMVocabulary
cancer,,癌症,,136,1107,,exam-data/NETEMVocabulary
judge,,判断,,136,1108,,exam-data/NETEMVocabulary
divide,,划分,,136,1109,,exam-data/NETEMVocabulary
rely,,依靠,,136,1110,,exam-data/NETEMVocabulary
former,,以前的、前者,,136,1111,,exam-data/NETEMVocabulary
instance,,例子,,136,1112,,exam-data/NETEMVocabulary
release,,释放、解除,,136,1113,,exam-data/NETEMVocabulary
front,,前面的,,136,1114,,exam-data/NETEMVocabulary
harm,,伤害,,136,1115,,exam-data/NETEMVocabulary
partner,,伙伴,,136,1116,,exam-data/NETEMVocabulary
floor,,地面,,136,1117,,exam-data/NETEMVocabulary
imply,,暗示,,135,1118,,exam-data/NETEMVocabulary
remove,,移除,,135,1119,,exam-data/NETEMVocabulary
tradition,,传统,,135,1120,,exam-data/NETEMVocabulary
radio,,收音机,,135,1121,,exam-data/NETEMVocabulary
vocabulary,,词汇,,135,1122,,exam-data/NETEMVocabulary
hunt,,打猎,,135,1123,,exam-data/NETEMVocabulary
clock,,时钟、计时,,135,1124,,exam-data/NETEMVocabulary
assume,,假设、揣测,,134,1125,,exam-data/NETEMVocabulary
invite,,邀请,,134,1126,,exam-data/NETEMVocabulary
collect,,收集,,134,1127,,exam-data/NETEMVocabulary
campaign,,运动、战役,,134,1128,,exam-data/NETEMVocabulary
native,,本地的、天生的,,134,1129,,exam-data/NETEMVocabulary
interesting,,有趣的,,134,1130,,exam-data/NETEMVocabulary
shortage,,不足,,134,1131,,exam-data/NETEMVocabulary
reform,,改革,,133,1132,,exam-data/NETEMVocabulary
corporate,,公司的、法人的,,133,1133,,exam-data/NETEMVocabulary
powerful,,强有力的,,133,1134,,exam-data/NETEMVocabulary
central,,中心的,,133,1135,,exam-data/NETEMVocabulary
efficiency,,效率,,133,1136,,exam-data/NETEMVocabulary
gender,,性别,,133,1137,,exam-data/NETEMVocabulary
dangerous,,危险的,,133,1138,,exam-data/NETEMVocabulary
urban,,城市的,,133,1139,,exam-data/NETEMVocabulary
emerge,,出现,,132,1140,,exam-data/NETEMVocabulary
sort,,种类、排序,,132,1141,,exam-data/NETEMVocabulary
enhance,,提高,,132,1142,,exam-data/NETEMVocabulary
round,,圆的,,132,1143,,exam-data/NETEMVocabulary
connect,,连接,,132,1144,,exam-data/NETEMVocabulary
forward,,前进的,,132,1145,,exam-data/NETEMVocabulary
handle,,处理,,132,1146,,exam-data/NETEMVocabulary
debt,,债务,,132,1147,,exam-data/NETEMVocabulary
diet,,饮食,,132,1148,,exam-data/NETEMVocabulary
connection,,联系,,132,1149,connexion,exam-data/NETEMVocabulary
color,,颜色,,132,1150,colour,exam-data/NETEMVocabulary
door,,门,,132,1151,,exam-data/NETEMVocabulary
hot,,热的,,131,1152,,exam-data/NETEMVocabulary
personality,,人格,,131,1153,,exam-data/NETEMVocabulary
eventually,,最终,,131,1154,,exam-data/NETEMVocabulary
manufacture,,制造、捏造,,131,1155,,exam-data/NETEMVocabulary
ocean,,海洋,,131,1156,,exam-data/NETEMVocabulary
north,,北、北方的,,131,1157,,exam-data/NETEMVocabulary
chemical,,化学的,,131,1158,,exam-data/NETEMVocabulary
afford,,承担得起,,131,1159,,exam-data/NETEMVocabulary
sugar,,糖,,131,1160,,exam-data/NETEMVocabulary
apple,,苹果,,131,1161,,exam-data/NETEMVocabulary
noise,,噪音,,130,1162,noize,exam-data/NETEMVocabulary
employment,,雇用、工作,,130,1163,,exam-data/NETEMVocabulary
advocate,,主张、倡议,,130,1164,,exam-data/NETEMVocabulary
mass,,大量,,130,1165,,exam-data/NETEMVocabulary
contrast,,形成对比,,130,1166,,exam-data/NETEMVocabulary
ideal,,理想的、空想的,,130,1167,,exam-data/NETEMVocabulary
west,,西、向西,,130,1168,,exam-data/NETEMVocabulary
vehicle,,交通工具,,130,1169,,exam-data/NETEMVocabulary
inside,,在里面,,130,1170,,exam-data/NETEMVocabulary
respond,,回答、响应,,129,1171,,exam-data/NETEMVocabulary
seven,,七,,129,1172,,exam-data/NETEMVocabulary
gift,,礼物,,129,1173,,exam-data/NETEMVocabulary
artist,,艺术家,,129,1174,,exam-data/NETEMVocabulary
double,,双的、使加倍,,129,1175,,exam-data/NETEMVocabulary
novel,,新颖的、长篇小说,,129,1176,,exam-data/NETEMVocabulary
page,,页码,,129,1177,,exam-data/NETEMVocabulary
park,,停车、公园,,129,1178,,exam-data/NETEMVocabulary
largely,,大量地,,128,1179,,exam-data/NETEMVocabulary
cent,,分(货币单位),,128,1180,,exam-data/NETEMVocabulary
analysis,,分析,,128,1181,,exam-data/NETEMVocabulary
outline,,轮廓、提纲,,128,1182,,exam-data/NETEMVocabulary
citizen,,公民,,128,1183,,exam-data/NETEMVocabulary
code,,代码、法典,,128,1184,,exam-data/NETEMVocabulary
strength,,力量,,128,1185,,exam-data/NETEMVocabulary
display,,陈列、显示,,128,1186,,exam-data/NETEMVocabulary
advanced,,高级的,,128,1187,,exam-data/NETEMVocabulary
son,,儿子、孩子,,128,1188,,exam-data/NETEMVocabulary
sun,,太阳,,127,1189,,exam-data/NETEMVocabulary
whom,,谁、哪个人,,127,1190,,exam-data/NETEMVocabulary
budget,,预算、做预算,,127,1191,,exam-data/NETEMVocabulary
smart,,聪明的,,127,1192,,exam-data/NETEMVocabulary
manner,,礼貌、礼仪、方式,,126,1193,,exam-data/NETEMVocabulary
explore,,探索,,126,1194,,exam-data/NETEMVocabulary
estimate,,估计,,126,1195,,exam-data/NETEMVocabulary
whatever,,无论什么,,126,1196,,exam-data/NETEMVocabulary
crop,,作物、收成,,126,1197,,exam-data/NETEMVocabulary
brand,,品牌,,126,1198,,exam-data/NETEMVocabulary
launch,,发射、使船下水,,126,1199,,exam-data/NETEMVocabulary
agriculture,,农业,,126,1200,,exam-data/NETEMVocabulary
scan,,扫描,,126,1201,,exam-data/NETEMVocabulary
regulation,,规定,,125,1202,,exam-data/NETEMVocabulary
nurse,,护士、护理,,125,1203,,exam-data/NETEMVocabulary
expose,,暴露,,125,1204,,exam-data/NETEMVocabulary
being,,生物、生存,,125,1205,,exam-data/NETEMVocabulary
truth,,真相,,125,1206,,exam-data/NETEMVocabulary
distance,,距离,,125,1207,,exam-data/NETEMVocabulary
count,,数数,,125,1208,,exam-data/NETEMVocabulary
hit,,打,,125,1209,,exam-data/NETEMVocabulary
ticket,,票,,125,1210,,exam-data/NETEMVocabulary
combine,,结合,,124,1211,,exam-data/NETEMVocabulary
ban,,禁止,,124,1212,,exam-data/NETEMVocabulary
bit,,一点,,124,1213,,exam-data/NETEMVocabulary
impossible,,不可能的,,124,1214,,exam-data/NETEMVocabulary
nuclear,,原子的,,124,1215,,exam-data/NETEMVocabulary
basis,,基础,,123,1216,,exam-data/NETEMVocabulary
boost,,往上推、增加,,123,1217,,exam-data/NETEMVocabulary
rain,,雨,,123,1218,,exam-data/NETEMVocabulary
reserve,,预留,,123,1219,,exam-data/NETEMVocabulary
dog,,狗,,123,1220,,exam-data/NETEMVocabulary
productivity,,生产力,,122,1221,,exam-data/NETEMVocabulary
discipline,,纪律,,122,1222,,exam-data/NETEMVocabulary
seat,,座位,,122,1223,,exam-data/NETEMVocabulary
revolution,,革命、旋转,,122,1224,,exam-data/NETEMVocabulary
prize,,奖,,122,1225,prise,exam-data/NETEMVocabulary
primary,,初级的、最初的,,122,1226,,exam-data/NETEMVocabulary
previous,,先前的,,122,1227,,exam-data/NETEMVocabulary
attractive,,吸引人的、动人的,,122,1228,,exam-data/NETEMVocabulary
communicate,,传达、交流,,122,1229,,exam-data/NETEMVocabulary
disaster,,灾难,,122,1230,,exam-data/NETEMVocabulary
stock,,股票、库存,,121,1231,,exam-data/NETEMVocabulary
quick,,迅速的,,121,1232,,exam-data/NETEMVocabulary
fly,,飞,,121,1233,,exam-data/NETEMVocabulary
heat,,热,,121,1234,,exam-data/NETEMVocabulary
candidate,,候选人,,121,1235,,exam-data/NETEMVocabulary
identity,,身份,,121,1236,,exam-data/NETEMVocabulary
repair,,修理、补救,,121,1237,,exam-data/NETEMVocabulary
eight,,八,,121,1238,,exam-data/NETEMVocabulary
tear,,眼泪、撕碎,,121,1239,,exam-data/NETEMVocabulary
web,,网,,120,1240,,exam-data/NETEMVocabulary
press,,报刊、新闻界,,120,1241,,exam-data/NETEMVocabulary
original,,最初的,,120,1242,,exam-data/NETEMVocabulary
conference,,会议,,120,1243,,exam-data/NETEMVocabulary
spot,,发现、污点,,119,1244,,exam-data/NETEMVocabulary
signal,,信号,,119,1245,,exam-data/NETEMVocabulary
generate,,产生、引起,,119,1246,,exam-data/NETEMVocabulary
expectation,,预期,,119,1247,,exam-data/NETEMVocabulary
recession,,经济衰退、退后,,119,1248,,exam-data/NETEMVocabulary
clothe,,给穿衣,,119,1249,,exam-data/NETEMVocabulary
facility,,灵巧、天资,,119,1250,,exam-data/NETEMVocabulary
directly,,直接地,,118,1251,,exam-data/NETEMVocabulary
ourselves,,我们自己、我们亲自,,118,1252,,exam-data/NETEMVocabulary
bus,,公车,,118,1253,,exam-data/NETEMVocabulary
refuse,,拒绝,,118,1254,,exam-data/NETEMVocabulary
burn,,燃烧,,118,1255,,exam-data/NETEMVocabulary
decrease,,减少,,118,1256,,exam-data/NETEMVocabulary
fat,,脂肪,,118,1257,,exam-data/NETEMVocabulary
table,,桌子、表格,,118,1258,,exam-data/NETEMVocabulary
sample,,样品,,118,1259,,exam-data/NETEMVocabulary
gold,,金子,,118,1260,,exam-data/NETEMVocabulary
obtain,,获得,,117,1261,,exam-data/NETEMVocabulary
ahead,,在…前面,,117,1262,,exam-data/NETEMVocabulary
domestic,,家庭的,,117,1263,,exam-data/NETEMVocabulary
airport,,机场,,117,1264,,exam-data/NETEMVocabulary
obesity,,肥胖,,117,1265,,exam-data/NETEMVocabulary
guest,,客人,,117,1266,,exam-data/NETEMVocabulary
threaten,,威胁,,116,1267,,exam-data/NETEMVocabulary
fair,,公平的,,116,1268,,exam-data/NETEMVocabulary
marry,,结婚,,116,1269,,exam-data/NETEMVocabulary
historical,,历史的,,116,1270,,exam-data/NETEMVocabulary
formal,,正式的、形式的,,116,1271,,exam-data/NETEMVocabulary
criminal,,犯罪活动、罪犯,,116,1272,,exam-data/NETEMVocabulary
familiar,,熟悉的,,116,1273,,exam-data/NETEMVocabulary
friendly,,友好的,,115,1274,,exam-data/NETEMVocabulary
planet,,行星,,115,1275,,exam-data/NETEMVocabulary
strange,,奇怪的,,115,1276,,exam-data/NETEMVocabulary
useful,,有用的,,115,1277,,exam-data/NETEMVocabulary
perfect,,完美的,,115,1278,,exam-data/NETEMVocabulary
genetic,,基因的,,114,1279,,exam-data/NETEMVocabulary
competitive,,竞争的,,114,1280,,exam-data/NETEMVocabulary
vast,,巨大的、大量的,,114,1281,,exam-data/NETEMVocabulary
series,,系列,,114,1282,,exam-data/NETEMVocabulary
deliver,,传递、传输,,114,1283,,exam-data/NETEMVocabulary
equipment,,设备,,114,1284,,exam-data/NETEMVocabulary
visitor,,访问者,,114,1285,,exam-data/NETEMVocabulary
revenue,,财政收入,,113,1286,,exam-data/NETEMVocabulary
sector,,部分、扇区,,113,1287,,exam-data/NETEMVocabulary
inform,,通知、告诉,,113,1288,,exam-data/NETEMVocabulary
twice,,两次,,113,1289,,exam-data/NETEMVocabulary
thank,,感谢,,113,1290,,exam-data/NETEMVocabulary
illness,,疾病,,113,1291,,exam-data/NETEMVocabulary
altogether,,总共、完全地,,113,1292,,exam-data/NETEMVocabulary
welfare,,福利,,113,1293,,exam-data/NETEMVocabulary
blood,,血,,113,1294,,exam-data/NETEMVocabulary
calorie,,卡路里,,113,1295,,exam-data/NETEMVocabulary
herself,,她自己、她亲自,,113,1296,,exam-data/NETEMVocabulary
intelligent,,聪明的,,112,1297,,exam-data/NETEMVocabulary
cite,,引用,,112,1298,,exam-data/NETEMVocabulary
guide,,指引、指导,,112,1299,,exam-data/NETEMVocabulary
household,,户、家庭的,,112,1300,,exam-data/NETEMVocabulary
pupil,,学生、瞳孔,,112,1301,,exam-data/NETEMVocabulary
insurance,,保险,,111,1302,,exam-data/NETEMVocabulary
criticism,,批评,,111,1303,,exam-data/NETEMVocabulary
exchange,,交换,,111,1304,,exam-data/NETEMVocabulary
ship,,船舶、装运,,111,1305,,exam-data/NETEMVocabulary
label,,标签、加标签于,,110,1306,,exam-data/NETEMVocabulary
differ,,与……不同,,110,1307,,exam-data/NETEMVocabulary
commit,,把…交托给、犯（罪）,,110,1308,,exam-data/NETEMVocabulary
admit,,承认,,110,1309,,exam-data/NETEMVocabulary
objective,,客观的、目的,,110,1310,,exam-data/NETEMVocabulary
contribution,,贡献,,110,1311,,exam-data/NETEMVocabulary
context,,上下文、环境,,110,1312,,exam-data/NETEMVocabulary
complain,,抱怨,,110,1313,,exam-data/NETEMVocabulary
fine,,很好,,110,1314,,exam-data/NETEMVocabulary
church,,教堂,,109,1315,,exam-data/NETEMVocabulary
yield,,放弃、屈服、收益,,109,1316,,exam-data/NETEMVocabulary
soil,,泥土、国土,,109,1317,,exam-data/NETEMVocabulary
rent,,租,,109,1318,,exam-data/NETEMVocabulary
video,,录像,,109,1319,,exam-data/NETEMVocabulary
brother,,兄弟,,109,1320,,exam-data/NETEMVocabulary
capital,,首都、大写字母,,108,1321,,exam-data/NETEMVocabulary
circumstance,,情况,,108,1322,,exam-data/NETEMVocabulary
illustrate,,说明、加插图,,108,1323,,exam-data/NETEMVocabulary
target,,目标,,108,1324,,exam-data/NETEMVocabulary
pretty,,漂亮的,,108,1325,,exam-data/NETEMVocabulary
active,,活跃的、积极的,,108,1326,,exam-data/NETEMVocabulary
schedule,,日程,,108,1327,,exam-data/NETEMVocabulary
window,,窗户,,108,1328,,exam-data/NETEMVocabulary
alter,,改变,,107,1329,,exam-data/NETEMVocabulary
sensitive,,敏感的、易受伤害的,,107,1330,,exam-data/NETEMVocabulary
gather,,聚集、搜集,,107,1331,,exam-data/NETEMVocabulary
requirement,,要求,,106,1332,,exam-data/NETEMVocabulary
critic,,批评者,,106,1333,,exam-data/NETEMVocabulary
property,,财产、性质、特性,,106,1334,,exam-data/NETEMVocabulary
eliminate,,排除、淘汰,,106,1335,,exam-data/NETEMVocabulary
artificial,,人造的,,106,1336,,exam-data/NETEMVocabulary
engineer,,工程师,,106,1337,,exam-data/NETEMVocabulary
neither,,两个都不,,106,1338,,exam-data/NETEMVocabulary
busy,,忙碌的,,106,1339,,exam-data/NETEMVocabulary
touch,,触摸、感动,,106,1340,,exam-data/NETEMVocabulary
appearance,,出现、外表,,106,1341,,exam-data/NETEMVocabulary
engineering,,工程学,,106,1342,,exam-data/NETEMVocabulary
teenager,,青少年,,106,1343,,exam-data/NETEMVocabulary
rank,,排列、等级,,106,1344,,exam-data/NETEMVocabulary
cure,,治愈,,105,1345,,exam-data/NETEMVocabulary
secretary,,秘书,,105,1346,,exam-data/NETEMVocabulary
circle,,圆,,105,1347,,exam-data/NETEMVocabulary
welcome,,欢迎,,105,1348,,exam-data/NETEMVocabulary
switch,,开关、改变,,105,1349,,exam-data/NETEMVocabulary
complaint,,抱怨、疾病,,105,1350,,exam-data/NETEMVocabulary
interpret,,口译、解释,,104,1351,,exam-data/NETEMVocabulary
lawyer,,律师,,104,1352,,exam-data/NETEMVocabulary
nowadays,,现今,,104,1353,,exam-data/NETEMVocabulary
priority,,优先,,104,1354,,exam-data/NETEMVocabulary
military,,军事的、军队,,104,1355,,exam-data/NETEMVocabulary
cope,,处理、应对,,104,1356,,exam-data/NETEMVocabulary
propose,,提议、提名,,104,1357,,exam-data/NETEMVocabulary
relative,,亲戚、比较的,,104,1358,,exam-data/NETEMVocabulary
sex,,性,,104,1359,,exam-data/NETEMVocabulary
pull,,拉,,104,1360,,exam-data/NETEMVocabulary
fresh,,新鲜的,,104,1361,,exam-data/NETEMVocabulary
crowd,,聚集、挤满,,104,1362,,exam-data/NETEMVocabulary
prospect,,景色、前景,,103,1363,,exam-data/NETEMVocabulary
payment,,支付,,103,1364,,exam-data/NETEMVocabulary
technical,,技术的,,103,1365,,exam-data/NETEMVocabulary
fish,,鱼,,103,1366,,exam-data/NETEMVocabulary
birth,,出生,,103,1367,,exam-data/NETEMVocabulary
anxiety,,焦虑,,103,1368,,exam-data/NETEMVocabulary
routine,,常规、惯例,,103,1369,,exam-data/NETEMVocabulary
psychology,,心理学,,103,1370,,exam-data/NETEMVocabulary
abroad,,到国外、广为流传,,103,1371,,exam-data/NETEMVocabulary
feed,,喂食,,103,1372,,exam-data/NETEMVocabulary
talent,,才华、人才,,103,1373,,exam-data/NETEMVocabulary
fiction,,虚构、小说,,103,1374,,exam-data/NETEMVocabulary
plane,,飞机,,103,1375,,exam-data/NETEMVocabulary
afternoon,,下午,,103,1376,,exam-data/NETEMVocabulary
shoe,,鞋子,,103,1377,,exam-data/NETEMVocabulary
humanity,,人文、人性,,102,1378,,exam-data/NETEMVocabulary
preserve,,保护、保存,,102,1379,,exam-data/NETEMVocabulary
explanation,,解释,,102,1380,,exam-data/NETEMVocabulary
flow,,流动,,102,1381,,exam-data/NETEMVocabulary
technique,,技术,,102,1382,,exam-data/NETEMVocabulary
wake,,醒来,,102,1383,,exam-data/NETEMVocabulary
hurt,,伤害,,102,1384,,exam-data/NETEMVocabulary
consist,,组成、在于,,102,1385,,exam-data/NETEMVocabulary
master,,主人、精通、掌握,,102,1386,,exam-data/NETEMVocabulary
smile,,笑,,101,1387,,exam-data/NETEMVocabulary
convince,,使人信服,,101,1388,,exam-data/NETEMVocabulary
delay,,推迟,,101,1389,,exam-data/NETEMVocabulary
broad,,宽的,,101,1390,,exam-data/NETEMVocabulary
sufficient,,足够的,,101,1391,,exam-data/NETEMVocabulary
mostly,,大部分,,101,1392,,exam-data/NETEMVocabulary
unlike,,不同的、不像,,101,1393,,exam-data/NETEMVocabulary
destroy,,摧毁,,101,1394,,exam-data/NETEMVocabulary
meat,,肉类,,101,1395,,exam-data/NETEMVocabulary
wage,,工资、发动,,101,1396,,exam-data/NETEMVocabulary
vision,,视力、想象,,101,1397,,exam-data/NETEMVocabulary
wealthy,,富裕的,,101,1398,,exam-data/NETEMVocabulary
